"make","make_model","time","num_vehicles_t0","num_vehicles_t","surv_prob"
"FORD","FORD FUSION",0,93,93,1
"FORD","FORD FUSION",15,93,65,0.7
"FORD","FORD FUSION",30,93,53,0.57
"FORD","FORD FUSION",45,93,44,0.48
"FORD","FORD FUSION",60,93,38,0.42
"FORD","FORD FUSION",75,93,33,0.36
"FORD","FORD FUSION",90,93,29,0.32
"FORD","FORD FUSION",105,93,26,0.28
"FORD","FORD FUSION",120,93,23,0.25
"FORD","FORD EXPLORER",0,88,88,1
"FORD","FORD EXPLORER",15,88,56,0.64
"FORD","FORD EXPLORER",30,88,43,0.49
"FORD","FORD EXPLORER",45,88,35,0.4
"FORD","FORD EXPLORER",60,88,29,0.33
"FORD","FORD EXPLORER",75,88,24,0.28
"FORD","FORD EXPLORER",90,88,21,0.24
"FORD","FORD EXPLORER",105,88,18,0.21
"FORD","FORD EXPLORER",120,88,15,0.18
"FORD","FORD ESCAPE",0,62,62,1
"FORD","FORD ESCAPE",15,62,40,0.66
"FORD","FORD ESCAPE",30,62,32,0.52
"FORD","FORD ESCAPE",45,62,26,0.43
"FORD","FORD ESCAPE",60,62,22,0.36
"FORD","FORD ESCAPE",75,62,19,0.31
"FORD","FORD ESCAPE",90,62,16,0.26
"FORD","FORD ESCAPE",105,62,14,0.23
"FORD","FORD ESCAPE",120,62,12,0.2
"FORD","FORD FOCUS",0,27,27,1
"FORD","FORD FOCUS",15,27,18,0.68
"FORD","FORD FOCUS",30,27,14,0.55
"FORD","FORD FOCUS",45,27,12,0.46
"FORD","FORD FOCUS",60,27,10,0.39
"FORD","FORD FOCUS",75,27,9,0.34
"FORD","FORD FOCUS",90,27,8,0.3
"FORD","FORD FOCUS",105,27,7,0.26
"FORD","FORD FOCUS",120,27,6,0.23
"FORD","FORD F-150",0,22,22,1
"FORD","FORD F-150",15,22,15,0.72
"FORD","FORD F-150",30,22,13,0.6
"FORD","FORD F-150",45,22,11,0.51
"FORD","FORD F-150",60,22,9,0.45
"FORD","FORD F-150",75,22,8,0.4
"FORD","FORD F-150",90,22,7,0.35
"FORD","FORD F-150",105,22,6,0.32
"FORD","FORD F-150",120,22,6,0.29
"FORD","FORD EDGE",0,15,15,1
"FORD","FORD EDGE",15,15,10,0.69
"FORD","FORD EDGE",30,15,8,0.56
"FORD","FORD EDGE",45,15,7,0.47
"FORD","FORD EDGE",60,15,6,0.4
"FORD","FORD EDGE",75,15,5,0.35
"FORD","FORD EDGE",90,15,4,0.31
"FORD","FORD EDGE",105,15,4,0.27
"FORD","FORD EDGE",120,15,3,0.24
"FORD","FORD SUPER DUTY F-350 SRW",0,13,13,1
"FORD","FORD SUPER DUTY F-350 SRW",15,13,8,0.68
"FORD","FORD SUPER DUTY F-350 SRW",30,13,7,0.54
"FORD","FORD SUPER DUTY F-350 SRW",45,13,5,0.45
"FORD","FORD SUPER DUTY F-350 SRW",60,13,5,0.39
"FORD","FORD SUPER DUTY F-350 SRW",75,13,4,0.33
"FORD","FORD SUPER DUTY F-350 SRW",90,13,3,0.29
"FORD","FORD SUPER DUTY F-350 SRW",105,13,3,0.26
"FORD","FORD SUPER DUTY F-350 SRW",120,13,2,0.23
"FORD","FORD SUPER DUTY F-550 DRW",0,12,12,1
"FORD","FORD SUPER DUTY F-550 DRW",15,12,9,0.76
"FORD","FORD SUPER DUTY F-550 DRW",30,12,7,0.65
"FORD","FORD SUPER DUTY F-550 DRW",45,12,6,0.57
"FORD","FORD SUPER DUTY F-550 DRW",60,12,6,0.51
"FORD","FORD SUPER DUTY F-550 DRW",75,12,5,0.46
"FORD","FORD SUPER DUTY F-550 DRW",90,12,5,0.42
"FORD","FORD SUPER DUTY F-550 DRW",105,12,4,0.38
"FORD","FORD SUPER DUTY F-550 DRW",120,12,4,0.35
"FORD","FORD SUPER DUTY F-250 SRW",0,8,8,1
"FORD","FORD SUPER DUTY F-250 SRW",15,8,5,0.7
"FORD","FORD SUPER DUTY F-250 SRW",30,8,4,0.57
"FORD","FORD SUPER DUTY F-250 SRW",45,8,3,0.48
"FORD","FORD SUPER DUTY F-250 SRW",60,8,3,0.41
"FORD","FORD SUPER DUTY F-250 SRW",75,8,2,0.36
"FORD","FORD SUPER DUTY F-250 SRW",90,8,2,0.32
"FORD","FORD SUPER DUTY F-250 SRW",105,8,2,0.28
"FORD","FORD SUPER DUTY F-250 SRW",120,8,1,0.25
"FORD","FORD MUSTANG",0,7,7,1
"FORD","FORD MUSTANG",15,7,5,0.72
"FORD","FORD MUSTANG",30,7,4,0.59
"FORD","FORD MUSTANG",45,7,3,0.51
"FORD","FORD MUSTANG",60,7,3,0.44
"FORD","FORD MUSTANG",75,7,2,0.39
"FORD","FORD MUSTANG",90,7,2,0.34
"FORD","FORD MUSTANG",105,7,2,0.31
"FORD","FORD MUSTANG",120,7,1,0.28
"FORD","FORD TRANSIT CARGO VAN",0,6,6,1
"FORD","FORD TRANSIT CARGO VAN",15,6,4,0.67
"FORD","FORD TRANSIT CARGO VAN",30,6,3,0.54
"FORD","FORD TRANSIT CARGO VAN",45,6,2,0.45
"FORD","FORD TRANSIT CARGO VAN",60,6,2,0.38
"FORD","FORD TRANSIT CARGO VAN",75,6,1,0.33
"FORD","FORD TRANSIT CARGO VAN",90,6,1,0.28
"FORD","FORD TRANSIT CARGO VAN",105,6,1,0.25
"FORD","FORD TRANSIT CARGO VAN",120,6,1,0.22
"FORD","FORD TRANSIT VAN",0,6,6,1
"FORD","FORD TRANSIT VAN",15,6,4,0.8
"FORD","FORD TRANSIT VAN",30,6,4,0.7
"FORD","FORD TRANSIT VAN",45,6,3,0.63
"FORD","FORD TRANSIT VAN",60,6,3,0.58
"FORD","FORD TRANSIT VAN",75,6,3,0.53
"FORD","FORD TRANSIT VAN",90,6,2,0.49
"FORD","FORD TRANSIT VAN",105,6,2,0.45
"FORD","FORD TRANSIT VAN",120,6,2,0.42
"FORD","FORD FUSION ENERGI",0,5,5,1
"FORD","FORD FUSION ENERGI",15,5,3,0.73
"FORD","FORD FUSION ENERGI",30,5,3,0.61
"FORD","FORD FUSION ENERGI",45,5,2,0.53
"FORD","FORD FUSION ENERGI",60,5,2,0.46
"FORD","FORD FUSION ENERGI",75,5,2,0.41
"FORD","FORD FUSION ENERGI",90,5,1,0.37
"FORD","FORD FUSION ENERGI",105,5,1,0.33
"FORD","FORD FUSION ENERGI",120,5,1,0.3
"FORD","FORD SUPER DUTY F-350 DRW",0,5,5,1
"FORD","FORD SUPER DUTY F-350 DRW",15,5,3,0.66
"FORD","FORD SUPER DUTY F-350 DRW",30,5,2,0.53
"FORD","FORD SUPER DUTY F-350 DRW",45,5,2,0.43
"FORD","FORD SUPER DUTY F-350 DRW",60,5,1,0.37
"FORD","FORD SUPER DUTY F-350 DRW",75,5,1,0.31
"FORD","FORD SUPER DUTY F-350 DRW",90,5,1,0.27
"FORD","FORD SUPER DUTY F-350 DRW",105,5,1,0.24
"FORD","FORD SUPER DUTY F-350 DRW",120,5,1,0.21
"FORD","FORD TAURUS",0,5,5,1
"FORD","FORD TAURUS",15,5,3,0.73
"FORD","FORD TAURUS",30,5,3,0.61
"FORD","FORD TAURUS",45,5,2,0.53
"FORD","FORD TAURUS",60,5,2,0.47
"FORD","FORD TAURUS",75,5,2,0.42
"FORD","FORD TAURUS",90,5,1,0.37
"FORD","FORD TAURUS",105,5,1,0.34
"FORD","FORD TAURUS",120,5,1,0.3
"FORD","FORD C-MAX ENERGI",0,3,3,1
"FORD","FORD C-MAX ENERGI",15,3,2,0.71
"FORD","FORD C-MAX ENERGI",30,3,1,0.58
"FORD","FORD C-MAX ENERGI",45,3,1,0.49
"FORD","FORD C-MAX ENERGI",60,3,1,0.43
"FORD","FORD C-MAX ENERGI",75,3,1,0.37
"FORD","FORD C-MAX ENERGI",90,3,0,0.33
"FORD","FORD C-MAX ENERGI",105,3,0,0.3
"FORD","FORD C-MAX ENERGI",120,3,0,0.26
"FORD","FORD TRANSIT CONNECT",0,3,3,1
"FORD","FORD TRANSIT CONNECT",15,3,2,0.72
"FORD","FORD TRANSIT CONNECT",30,3,1,0.6
"FORD","FORD TRANSIT CONNECT",45,3,1,0.52
"FORD","FORD TRANSIT CONNECT",60,3,1,0.45
"FORD","FORD TRANSIT CONNECT",75,3,1,0.4
"FORD","FORD TRANSIT CONNECT",90,3,1,0.36
"FORD","FORD TRANSIT CONNECT",105,3,0,0.32
"FORD","FORD TRANSIT CONNECT",120,3,0,0.29
"FORD","FORD E-SERIES CUTAWAY",0,2,2,1
"FORD","FORD E-SERIES CUTAWAY",15,2,1,0.65
"FORD","FORD E-SERIES CUTAWAY",30,2,1,0.51
"FORD","FORD E-SERIES CUTAWAY",45,2,0,0.42
"FORD","FORD E-SERIES CUTAWAY",60,2,0,0.35
"FORD","FORD E-SERIES CUTAWAY",75,2,0,0.3
"FORD","FORD E-SERIES CUTAWAY",90,2,0,0.26
"FORD","FORD E-SERIES CUTAWAY",105,2,0,0.22
"FORD","FORD E-SERIES CUTAWAY",120,2,0,0.19
"FORD","FORD EXPEDITION",0,2,2,1
"FORD","FORD EXPEDITION",15,2,1,0.75
"FORD","FORD EXPEDITION",30,2,1,0.64
"FORD","FORD EXPEDITION",45,2,1,0.56
"FORD","FORD EXPEDITION",60,2,1,0.5
"FORD","FORD EXPEDITION",75,2,0,0.45
"FORD","FORD EXPEDITION",90,2,0,0.41
"FORD","FORD EXPEDITION",105,2,0,0.37
"FORD","FORD EXPEDITION",120,2,0,0.34
"FORD","FORD FIESTA",0,2,2,1
"FORD","FORD FIESTA",15,2,1,0.74
"FORD","FORD FIESTA",30,2,1,0.62
"FORD","FORD FIESTA",45,2,1,0.54
"FORD","FORD FIESTA",60,2,0,0.48
"FORD","FORD FIESTA",75,2,0,0.42
"FORD","FORD FIESTA",90,2,0,0.38
"FORD","FORD FIESTA",105,2,0,0.34
"FORD","FORD FIESTA",120,2,0,0.31
"FORD","FORD TRANSIT CONNECT WAGON",0,2,2,1
"FORD","FORD TRANSIT CONNECT WAGON",15,2,1,0.69
"FORD","FORD TRANSIT CONNECT WAGON",30,2,1,0.55
"FORD","FORD TRANSIT CONNECT WAGON",45,2,0,0.47
"FORD","FORD TRANSIT CONNECT WAGON",60,2,0,0.4
"FORD","FORD TRANSIT CONNECT WAGON",75,2,0,0.35
"FORD","FORD TRANSIT CONNECT WAGON",90,2,0,0.3
"FORD","FORD TRANSIT CONNECT WAGON",105,2,0,0.27
"FORD","FORD TRANSIT CONNECT WAGON",120,2,0,0.24
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",0,1,1,1
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",15,1,0,0.57
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",30,1,0,0.41
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",45,1,0,0.31
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",60,1,0,0.25
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",75,1,0,0.2
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",90,1,0,0.16
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",105,1,0,0.14
"FORD","FORD ECONOLINE COMMERCIAL CUTAWAY",120,1,0,0.11
"FORD","FORD SUPER DUTY F-450 DRW",0,1,1,1
"FORD","FORD SUPER DUTY F-450 DRW",15,1,0,0.61
"FORD","FORD SUPER DUTY F-450 DRW",30,1,0,0.46
"FORD","FORD SUPER DUTY F-450 DRW",45,1,0,0.36
"FORD","FORD SUPER DUTY F-450 DRW",60,1,0,0.3
"FORD","FORD SUPER DUTY F-450 DRW",75,1,0,0.25
"FORD","FORD SUPER DUTY F-450 DRW",90,1,0,0.21
"FORD","FORD SUPER DUTY F-450 DRW",105,1,0,0.17
"FORD","FORD SUPER DUTY F-450 DRW",120,1,0,0.15
"FORD","FORD TRANSIT CONNECT VAN",0,1,1,1
"FORD","FORD TRANSIT CONNECT VAN",15,1,0,0.89
"FORD","FORD TRANSIT CONNECT VAN",30,1,0,0.83
"FORD","FORD TRANSIT CONNECT VAN",45,1,0,0.79
"FORD","FORD TRANSIT CONNECT VAN",60,1,0,0.75
"FORD","FORD TRANSIT CONNECT VAN",75,1,0,0.72
"FORD","FORD TRANSIT CONNECT VAN",90,1,0,0.69
"FORD","FORD TRANSIT CONNECT VAN",105,1,0,0.66
"FORD","FORD TRANSIT CONNECT VAN",120,1,0,0.64
